Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude,Suspected,ConfnSusp,Notes
Hubei,Mainland China,2020-02-28T00:43:01,65914.0,2682.0,26403.0,,,,,
,South Korea,2020-02-28T08:53:03,2337.0,13.0,22.0,,,,,
Guangdong,Mainland China,2020-02-28T08:53:03,1348.0,7.0,935.0,,,,,
Henan,Mainland China,2020-02-28T09:23:02,1272.0,20.0,1112.0,,,,,
Zhejiang,Mainland China,2020-02-28T10:03:12,1205.0,1.0,975.0,,,,,
Hunan,Mainland China,2020-02-28T09:13:10,1017.0,4.0,830.0,,,,,
Anhui,Mainland China,2020-02-28T04:43:02,990.0,6.0,821.0,,,,,
Jiangxi,Mainland China,2020-02-28T01:13:11,935.0,1.0,790.0,,,,,
,Italy,2020-02-28T20:13:09,888.0,21.0,46.0,,,,,
Shandong,Mainland China,2020-02-28T09:23:02,756.0,6.0,405.0,,,,,
Diamond Princess cruise ship,Others,2020-02-28T20:53:02,705.0,6.0,10.0,,,,,
Jiangsu,Mainland China,2020-02-28T08:53:03,631.0,0.0,515.0,,,,,
Chongqing,Mainland China,2020-02-28T23:23:03,576.0,6.0,422.0,,,,,
Sichuan,Mainland China,2020-02-28T09:23:02,538.0,3.0,338.0,,,,,
Heilongjiang,Mainland China,2020-02-28T04:43:02,480.0,13.0,283.0,,,,,
Beijing,Mainland China,2020-02-28T02:23:05,410.0,7.0,257.0,,,,,
,Iran,2020-02-28T15:43:03,388.0,34.0,73.0,,,,,
Shanghai,Mainland China,2020-02-28T04:53:03,337.0,3.0,279.0,,,,,
Hebei,Mainland China,2020-02-28T08:53:03,318.0,6.0,277.0,,,,,
Fujian,Mainland China,2020-02-28T09:13:10,296.0,1.0,235.0,,,,,
Guangxi,Mainland China,2020-02-28T09:13:10,252.0,2.0,168.0,,,,,
Shaanxi,Mainland China,2020-02-28T08:53:03,245.0,1.0,199.0,,,,,
,Japan,2020-02-28T12:43:02,228.0,4.0,22.0,,,,,
Yunnan,Mainland China,2020-02-28T05:03:09,174.0,2.0,156.0,,,,,
Hainan,Mainland China,2020-02-28T08:53:03,168.0,5.0,133.0,,,,,
Guizhou,Mainland China,2020-02-27T00:43:02,146.0,2.0,112.0,,,,,
Tianjin,Mainland China,2020-02-27T23:13:04,136.0,3.0,102.0,,,,,
